Zip,Median,Mean,Pop
7001,76614.6633,81642.1782,16836
7002,54621.3073,68437.6719,61841
7003,67950.2543,76534.8969,47601
7004,97361,118702,7029
7005,93585.8311,121852.6764,15592
7006,108791.9455,139504.2779,26231
7008,57337.8872,71326.0535,20706
7009,96717.7718,123512.5194,12358
7010,69246.546,81772.132,22927
7011,53313.6237,63084.9614,37338
7012,65756.9495,81267.9488,11283
7013,76033.8144,94913.4183,24990
7014,70340.4234,80841.3308,4795
7016,104054.7581,129009.4863,22578
7017,43643.4368,49766.5828,39249
7018,38629.8781,51108.8415,30594
7020,83530.0243,108240.492,7829
7021,181732.2372,289267.9244,2154
7022,44907.3188,60570.3776,13255
7023,127450,126752,7145
7024,73336.2839,95417.4853,35421
7026,51695.9555,63095.8521,29850
7027,72254,79699,4154
7028,159156.7334,205326.0844,7348
7029,51730.1594,62104.4312,16801
7030,96393.2654,129229.6393,38577
7031,70502.2989,85374.0686,15180
7032,60860.9422,70872.209,40512
7033,76500,84949,7673
7034,76670.2184,85722.8148,9328
7035,52877.897,58561.8744,6738
7036,56859.665,68567.3367,40907
7039,135252.6303,184778.079,27403
7040,113393.0805,134703.2175,23979
7041,120851.5836,160793.3506,6627
7042,88119.3287,127038.352,27032
7043,157380.568,212707.9879,12106
7044,92256.729,121301.1017,13567
7045,119420.5859,157258.8132,9853
7046,154383.5292,242602.4286,4295
7047,53820.8841,67887.4524,58090
7050,42375.9986,50917.4375,32754
7052,91630.6687,117283.5271,44917
7054,82660.4303,104715.547,27521
7055,34290.9277,43985.2696,67808
7057,58074.2042,65185.7746,11583
7058,111581,145516,5252
7059,141083.9399,221273.6933,14263
7060,56605.4237,69934.8635,43336
7062,55272.7984,70074.0728,12911
7063,65908.7576,78090.9706,12453
7064,72609.2833,80305.537,3819
7065,62391.6832,74500.3111,26501
7066,82572.9456,98503.6236,14598
7067,87694.1322,106078.443,18070
7068,100289,133558,5297
7069,111784.8798,156894.1276,5957
7070,87016.8871,105954.4251,18111
7071,68386.7348,83648.3855,19381
7072,62255,77720,5917
7073,63990.7473,72676.2008,8716
7074,53500,70149,2749
7075,90071,90824,7632
7076,119550.8834,142194.9754,22720
7077,73534,80397,2788
7078,205243.4019,322206.3697,12918
7079,127396.069,148713.5056,17150
7080,94149.0181,98511.9477,21789
7081,86489.5824,108493.6508,14663
7082,133102.4976,164557.936,5186
7083,76472.1449,89152.152,50661
7086,60750.064,93282.4739,13501
7087,40749.141,51109.6233,67088
7088,53287.2987,64409.4842,3526
7090,132953.1412,189475.4263,29646
7092,116150.0893,143868.5181,6643
7093,42929.9924,57331.9858,56576
7094,81119.2179,99783.8492,15931
7095,76614.0682,86285.5744,18737
7102,31136.8343,41233.42,13096
7103,30900.8607,41792.299,30606
7104,33993.5314,43463.2837,45737
7105,43412.1354,52484.6647,44034
7106,46783.1799,58633.309,34115
7107,32831.2676,44588.7183,35992
7108,29834.0756,39144.986,25006
7109,63190.2043,72185.7684,35954
7110,79888.942,95332.6103,27386
7111,41922.208,51900.4881,60630
7112,39986.6719,49988.316,27039
7114,14569.5604,25040.3171,8903
7201,46417.5107,56132.1713,27865
7202,42027.08,49417.3503,37325
7203,57956.2117,69365.5437,21275
7204,64821.776,77751.2956,13281
7205,56931.3885,68893.1551,21736
7206,42323.3566,51389.0254,23260
7208,52673.5801,65063.4156,32113
7302,76967.05,98752.3753,31104
7304,40861.4099,56704.7387,41745
7305,54391.7951,67067.6696,58533
7306,41962.6158,56445.6062,55565
7307,52343.4863,66277.6589,46026
7310,107673.2785,129728.158,7065
7311,147739,168962,17
7401,131563,188740,6675
7405,110551.8479,131877.9286,16725
7407,66976.625,79444.7752,18925
7410,93539.3376,108521.375,31638
7416,64250.5195,77204.1829,5831
7417,162095.0915,235259.0746,10421
7418,81885.8625,101015.9652,2194
7419,75821.4016,82622.8023,6831
7420,8908.5909,10405.956,515
7421,89211.9304,98933.0588,7751
7422,80899.9086,88530.6954,6925
7423,155030,195984,4090
7424,73517.2317,83578.3576,21847
7430,96955.0958,139988.1285,24068
7432,87905,104074,6948
7435,107381.2565,118291.2266,2692
7436,112125.8355,132462.7369,12465
7438,94316.2784,105854.7906,11536
7439,78699.225,81217.0225,2658
7440,85368.3736,102829.4262,4672
7442,87142.1091,100784.631,10640
7444,84586.8152,103018.6334,9234
7446,115109.4898,143841.09,14360
7450,150932.8159,206952.9601,24926
7452,139462.1684,189169.5136,11569
7456,108298.9515,120043.8669,12382
7457,86328,94245,2485
7458,152462.3534,239923.5934,10953
7460,80259.3037,94248.1789,3641
7461,72685.2775,86367.1164,19016
7462,82578.7978,91276.8711,7331
7463,94033.5626,113265.1432,9585
7465,86398.9993,100923.5599,5253
7470,104062.5365,122863.6206,54066
7480,90026.6648,110658.9944,15916
7481,148339.7608,191303.4636,16516
7501,23988.9836,30516.445,33500
7502,50457.8987,58311.4683,14914
7503,36510.781,45763.6729,19191
7504,44975.0529,56261.1787,13056
7505,18597.0712,25986.3474,3892
7506,73102.3892,88742.924,18153
7508,76790.3544,86819.9901,22017
7512,68248.88,94459.833,9469
7513,41617.1969,51512.86,12818
7514,38480.4029,47822.2345,18221
7522,32050.0689,42989.835,20482
7524,34766.7127,41615.6827,13144
7601,57731.8113,69368.4384,42679
7603,76021.8302,88909.0378,8249
7604,89149.988,99577.7426,11662
7605,73198.1945,104332.3782,8922
7606,74545,82031,2184
7607,79851.7407,90231.5615,9513
7621,83369.5637,100314.8056,26237
7624,114696.3228,144302.2116,8382
7626,105625,149098,7711
7627,147714,213632,4845
7628,83131.5962,93798.0883,17474
7630,99292,119806,7145
7631,75426.7652,104778.3494,26116
7632,101956.2864,168465.1608,5335
7640,115875,143300,4740
7641,135694,179945,3391
7642,115878.1142,130694.458,10056
7643,57951.467,73771.206,10801
7644,54591.5194,67123.2425,23980
7645,111633,149625,7045
7646,79378.3005,98847.7481,16402
7647,87270,117370,4844
7648,102117.138,121696.669,5757
7649,124218.282,149517.801,8047
7650,57134.6844,74597.4613,17032
7652,108192.8756,124463.6307,25739
7656,106646.4697,125882.2283,8689
7657,60790.8958,76035.3129,10830
7660,61927.7321,80451.9266,12873
7661,97645.4228,106308.1362,10946
7662,66341,76725,5528
7663,82169.5164,92553.3874,13152
7666,98855.2563,127831.9728,39343
7670,125355.3245,184763.5615,13871
7675,106536.3094,133947.4565,25991
7676,112113.5118,135548.9002,8920
7677,150404,194247,5777
7701,76725.2126,93678.4363,23144
7702,83922,110209,3590
7704,112448.7604,160446.7188,5971
7711,87372.8502,120941.4998,1935
7712,57250.1712,76528.3146,38749
7716,86308.8101,118031.0669,8676
7717,83333,120849,2244
7718,91277.8,113502.0744,6205
7719,79486.2736,99174.0758,21995
7720,59792,67290,4793
7721,71645.7467,86567.9826,2557
7722,139890.9537,187259.0285,9471
7723,89650.5128,126503.2338,1523
7724,80516.8961,96987.5915,23476
7726,87556.4744,101885.8778,30892
7727,88230.4413,111469.135,6099
7728,85251.5418,103738.5553,49764
7730,88623.4394,94718.2019,17994
7731,92220.6529,103920.848,37811
7732,75644.0859,89500.6585,5418
7733,144078.3996,197847.6154,15749
7734,49907.8397,60224.075,14146
7735,63380.508,72354.2132,20714
