specimen,pcb138,LOG.pcb138,pcb153,LOG.pcb153,pcb180,LOG.pcb180,pcb28,LOG.pcb28,pcb52,LOG.pcb52,pcb126,LOG.pcb126,pcb118,LOG.pcb118,pcb,LOG.pcb,teq,LOG.teq,teqpcb,LOG.teqpcb,teqdioxin,LOG.teqdioxin,teqfuran,LOG.teqfuran
1,1.46,0.164352856,1.59,0.201397124,0.738,-0.131943638,0.421,-0.375717904,0.532,-0.274088368,0.0026,-2.585026652,0.72,-0.142667504,19.9959,1.300940956,0.9384,-0.027612001,0.18892,-0.723722063,0.60948,-0.215040541,0.14,-0.853871964
2,0.64,-0.193820026,0.92,-0.036212173,0.664,-0.177831921,0.025,-1.602059991,0.03,-1.522878745,0.0026,-2.585026652,0.236,-0.627087997,6.0996,0.785301356,0.96881,-0.013761387,0.06837,-1.16513442,0.90044,-0.045545221,0,#NUM!
3,3.29,0.517195898,3.9,0.591064607,1.15,0.06069784,0.076,-1.119186408,0.134,-0.872895202,0.0026,-2.585026652,1.54,0.187520721,24.9655,1.397340268,0.97992,-0.008809378,0.32992,-0.481591356,0.62,-0.207608311,0.03,-1.522878745
4,3.94,0.595496222,5.44,0.7355989,1.33,0.123851641,0.152,-0.818156412,0.466,-0.331614083,0.0055,-2.259637311,1.94,0.28780173,37.4436,1.573377597,0.9985,-0.000651931,0.9235,-0.0345631,0.005,-2.301029996,0.07,-1.15490196
5,3.18,0.50242712,3.65,0.562292864,2.14,0.330413773,0.116,-0.935542011,0.243,-0.614393726,0.0059,-2.229147988,1.47,0.167317335,30.183,1.479762404,1.01654,0.007124472,0.92654,-0.033135827,0,#NUM!,0.09,-1.045757491
6,2.43,0.385606274,2.79,0.445604203,1.3,0.113943352,0.073,-1.13667714,0.137,-0.863279433,0.0058,-2.236572006,1.31,0.117271296,20.8036,1.318138495,1.02794,0.011967766,0.90294,-0.044341107,0.05,-1.301029996,0.075,-1.124938737
7,3.94,0.595496222,4.84,0.684845362,3.49,0.542825427,0.058,-1.236572006,0.208,-0.681936665,0.0073,-2.13667714,0.876,-0.057495894,41.3818,1.616809377,1.04571,0.019411261,1.00571,0.002472768,0.03,-1.522878745,0.01,-2
8,3.38,0.5289167,3.41,0.532754379,1.04,0.017033339,0.189,-0.723538196,0.477,-0.321481621,0.0052,-2.283996656,2.46,0.390935107,29.478,1.469498015,1.06337,0.026684404,1.04837,0.020514585,0.005,-2.301029996,0.01,-2
9,2.21,0.344392274,2.39,0.378397901,0.966,-0.015022874,0.275,-0.560667306,0.457,-0.3400838,0.0026,-2.585026652,1.14,0.056904851,24.2387,1.384509323,1.11068,0.045588952,0.28615,-0.54340625,0.64353,-0.191431202,0.181,-0.742321425
10,2.49,0.396199347,3.51,0.545307116,1.59,0.201397124,0.221,-0.655607726,0.298,-0.525783736,0.0026,-2.585026652,1.18,0.071882007,26.3198,1.420282585,1.13301,0.054233743,0.27224,-0.565048064,0.65997,-0.180475806,0.2008,-0.697236292
11,0.86,-0.065501549,0.87,-0.060480747,0.395,-0.403402904,0.091,-1.040958608,0.02,-1.698970004,0.0026,-2.585026652,0.406,-0.391473966,8.591,0.934043719,1.16909,0.067847946,0.10819,-0.965812879,0.9446,-0.024752059,0.1163,-0.934420285
12,3.38,0.5289167,3.84,0.584331224,1.85,0.267171728,1.51,0.178976947,0.539,-0.268411235,0.0026,-2.585026652,1.5,0.176091259,36.4229,1.561374521,1.16942,0.067970517,0.36523,-0.437433557,0.68119,-0.166731736,0.123,-0.910094889
13,7.39,0.868644438,9.18,0.962842681,4.42,0.645422269,0.154,-0.812479279,0.707,-0.150580586,0.0026,-2.585026652,3.55,0.550228353,66.4108,1.822238712,1.18253,0.072812167,0.88631,-0.052414351,0.19122,-0.718466686,0.105,-0.978810701
14,2.74,0.437750563,3.03,0.481442629,0.595,-0.225483034,0.392,-0.406713933,0.893,-0.049148541,0.0026,-2.585026652,1.98,0.29666519,30.5757,1.485376409,1.21249,0.083678165,0.35924,-0.444615312,0.59325,-0.226762253,0.26,-0.585026652
15,2.58,0.411619706,3.3,0.51851394,1.78,0.250420002,0.097,-1.013228266,0.112,-0.950781977,0.0062,-2.207608311,1.52,0.181843588,25.4771,1.406149992,1.23549,0.091839235,0.96849,-0.013904859,0.174,-0.759450752,0.093,-1.031517051
16,7.28,0.862131379,6.6,0.819543936,3.49,0.542825427,0.262,-0.581698709,1.44,0.158362492,0.0026,-2.585026652,4,0.602059991,68.5567,1.836049905,1.23559,0.091874385,0.96859,-0.013860019,0.205,-0.688246139,0.062,-1.207608311
17,2.29,0.359835482,4.21,0.624282096,2.1,0.322219295,0.111,-0.954677021,0.124,-0.906578315,0.0026,-2.585026652,0.981,-0.008330993,23.1381,1.364327694,1.26356,0.101595869,0.26471,-0.577229652,0.86635,-0.06230662,0.1325,-0.877784122
18,5.35,0.728353782,7.25,0.860338007,5.37,0.729974286,0.156,-0.806875402,0.154,-0.812479279,0.0079,-2.102372909,0.737,-0.132532512,43.0451,1.633923721,1.35751,0.132743037,1.04451,0.018912602,0.214,-0.669586227,0.099,-1.004364805
19,4.62,0.664641976,5.55,0.744292983,2.69,0.42975228,0.12,-0.920818754,0.319,-0.496209317,0.0072,-2.142667504,1.49,0.173186268,39.53,1.596926814,1.36336,0.134610548,1.09586,0.039755075,0.157,-0.804100348,0.1105,-0.956637722
20,3.54,0.549003262,3.57,0.552668216,1.14,0.056904851,0.315,-0.501689446,0.536,-0.27083521,0.0072,-2.142667504,1.89,0.276461804,36.5013,1.562308332,1.37083,0.1369836,1.13123,0.053550914,0.099,-1.004364805,0.1406,-0.852014679
21,1.98,0.29666519,2.08,0.318063335,1.04,0.017033339,0.845,-0.073143291,0.718,-0.143875556,0.0026,-2.585026652,0.889,-0.051098239,26.5255,1.423663579,1.38104,0.140206258,0.20506,-0.688119047,1.02578,0.011054227,0.1502,-0.823330067
22,2.01,0.303196057,2.55,0.40654018,1.04,0.017033339,0.172,-0.764471553,0.173,-0.761953897,0.0026,-2.585026652,1.5,0.176091259,22.137,1.345118765,1.38902,0.142708499,0.30549,-0.515003002,1.02103,0.009038503,0.0625,-1.204119983
23,2.22,0.346352974,2.62,0.418301291,0.897,-0.047207557,0.091,-1.040958608,0.228,-0.642065153,0.0054,-2.26760624,1.07,0.029383778,19.1992,1.283283133,1.47651,0.169236393,0.78992,-0.10241689,0.48569,-0.313640838,0.2009,-0.697020063
24,3.5,0.544068044,3.61,0.557507202,2.33,0.367355921,0.371,-0.43062609,0.456,-0.341035157,0.0066,-2.180456064,1.52,0.181843588,32.9518,1.517879143,1.48975,0.173113394,1.06958,0.029213273,0.35517,-0.449563725,0.065,-1.187086643
25,0.86,-0.065501549,0.86,-0.065501549,0.474,-0.324221658,0.058,-1.236572006,0.152,-0.818156412,0.0026,-2.585026652,0.393,-0.40560745,9.0893,0.958530438,1.51692,0.180962677,0.0997,-1.001304842,1.24922,0.096638929,0.168,-0.774690718
26,4.92,0.691965103,6.09,0.784617293,3.65,0.562292864,0.159,-0.798602876,0.181,-0.742321425,0.009,-2.045757491,1.79,0.252853031,42.0037,1.623287548,1.56344,0.194081219,1.39494,0.144555528,0.076,-1.119186408,0.0925,-1.033858267
27,2.76,0.440909082,2.89,0.460897843,0.868,-0.061480275,2.46,0.390935107,1.78,0.250420002,0.0026,-2.585026652,2.14,0.330413773,48.7727,1.688176798,1.66115,0.220408851,0.44493,-0.35170831,0.94849,-0.022967244,0.2677,-0.572351629
28,5.18,0.71432976,7.08,0.850033258,3.61,0.557507202,0.184,-0.735182177,0.843,-0.074172425,0.0071,-2.148741651,2.39,0.378397901,55.894,1.747365191,1.66381,0.22110373,1.21581,0.084865711,0.335,-0.474955193,0.113,-0.946921557
29,2.6,0.414973348,2.37,0.374748346,1.24,0.093421685,0.431,-0.36552273,0.482,-0.316952962,0.0083,-2.080921908,1.6,0.204119983,31.8021,1.502455799,1.70648,0.232101203,1.20843,0.082221498,0.22005,-0.657478627,0.278,-0.555955204
30,4.95,0.694605199,7.15,0.854306042,2.74,0.437750563,0.294,-0.53165267,1.29,0.11058971,0.0071,-2.148741651,2.35,0.371067862,60.1485,1.779224801,1.74258,0.241192725,1.22208,0.087099637,0.222,-0.653647026,0.2985,-0.525055665
31,10.8,1.033423755,12.2,1.086359831,8.82,0.945468585,0.18,-0.744727495,0.067,-1.173925197,0.0074,-2.13076828,3.55,0.550228353,97.2793,1.988020437,1.7909,0.253071336,1.60686,0.20597804,0.05604,-1.251501873,0.128,-0.89279003
