specimen,pcb138,LN.pcb138,pcb153,LN.pcb153,pcb180,LN.pcb180,pcb28,LN.pcb28,pcb52,LN.pcb52,pcb126,LN.pcb126,pcb118,LN.pcb118,pcb,LN.pcb,teq,LN.teq,teqpcb,LN.teqpcb,teqdioxin,LN.teqdioxin,teqfuran,LN.teqfuran
1,1.46,0.378436436,1.59,0.463734016,0.738,-0.303811454,0.421,-0.865122445,0.532,-0.63111179,0.0026,-5.952243834,0.72,-0.328504067,19.9959,2.995527253,0.9384,-0.063578982,0.18892,-1.666431634,0.60948,-0.495149144,0.14,-1.966112856
2,0.64,-0.446287103,0.92,-0.083381609,0.664,-0.40947313,0.025,-3.688879454,0.03,-3.506557897,0.0026,-5.952243834,0.236,-1.443923474,6.0996,1.808223195,0.96881,-0.031686765,0.06837,-2.682821147,0.90044,-0.104871746,0,#NUM!
3,3.29,1.190887565,3.9,1.360976553,1.15,0.139761942,0.076,-2.577021939,0.134,-2.009915479,0.0026,-5.952243834,1.54,0.431782416,24.9655,3.217494872,0.97992,-0.020284343,0.32992,-1.108905078,0.62,-0.478035801,0.03,-3.506557897
4,3.94,1.371180723,5.44,1.693779061,1.33,0.285178942,0.152,-1.883874758,0.466,-0.763569645,0.0055,-5.203007187,1.94,0.662687973,37.4436,3.622835801,0.9985,-0.001501126,0.9235,-0.079584479,0.005,-5.298317367,0.07,-2.659260037
5,3.18,1.156881197,3.65,1.294727168,2.14,0.760805829,0.116,-2.154165088,0.243,-1.414693836,0.0059,-5.132802928,1.47,0.385262401,30.183,3.407278852,1.01654,0.016404704,0.92654,-0.076298061,0,#NUM!,0.09,-2.407945609
6,2.43,0.887891257,2.79,1.026041596,1.3,0.262364264,0.073,-2.617295838,0.137,-1.987774353,0.0058,-5.149897361,1.31,0.270027137,20.8036,3.035126049,1.02794,0.0275568,0.90294,-0.102099173,0.05,-2.995732274,0.075,-2.590267165
7,3.94,1.371180723,4.84,1.576914721,3.49,1.249901736,0.058,-2.847312268,0.208,-1.570217199,0.0073,-4.919880931,0.876,-0.132389188,41.3818,3.722841171,1.04571,0.044696081,1.00571,0.00569376,0.03,-3.506557897,0.01,-4.605170186
8,3.38,1.217875709,3.41,1.226712291,1.04,0.039220713,0.189,-1.666008264,0.477,-0.740238788,0.0052,-5.259096653,2.46,0.90016135,29.478,3.383644222,1.06337,0.06144311,1.04837,0.047236577,0.005,-5.298317367,0.01,-4.605170186
9,2.21,0.792992516,2.39,0.871293366,0.966,-0.034591445,0.275,-1.290984181,0.457,-0.783071888,0.0026,-5.952243834,1.14,0.131028262,24.2387,3.187950529,1.11068,0.10497244,0.28615,-1.25123913,0.64353,-0.440786633,0.181,-1.709258248
10,2.49,0.91228271,3.51,1.255616037,1.59,0.463734016,0.221,-1.509592577,0.298,-1.210661792,0.0026,-5.952243834,1.18,0.165514438,26.3198,3.270321508,1.13301,0.124877808,0.27224,-1.301071249,0.65997,-0.4155609,0.2008,-1.605445891
